seq,tid,timestamp_sec,timestamp_nsec,msg
25213,140034247595584,1760733178,462372229,writer3-msg6292
25214,140034247595584,1760733178,462372439,writer3-msg6293
25215,140034264380992,1760733178,463037167,writer1-msg6334
25216,140034264380992,1760733178,463037420,writer1-msg6335
25217,140034272773696,1760733178,463705880,writer0-msg6300
25218,140034272773696,1760733178,463706116,writer0-msg6301
25219,140034255988288,1760733178,465491264,writer2-msg6286
25220,140034255988288,1760733178,465491547,writer2-msg6287
25221,140034247595584,1760733178,465579220,writer3-msg6294
25222,140034247595584,1760733178,465579380,writer3-msg6295
25223,140034264380992,1760733178,466123331,writer1-msg6336
25224,140034264380992,1760733178,466123636,writer1-msg6337
25225,140034272773696,1760733178,466867735,writer0-msg6302
25226,140034272773696,1760733178,466867970,writer0-msg6303
25227,140034247595584,1760733178,468648036,writer3-msg6296
25228,140034247595584,1760733178,468648257,writer3-msg6297
25229,140034255988288,1760733178,468721773,writer2-msg6288
25230,140034255988288,1760733178,468722311,writer2-msg6289
